Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
28/08/20 3:00,28/08/20 5:05,AUDJPY,Sell,0.05,-,-,77.518,77.694,0,-880,2h 5m,-0.27%
28/08/20 4:35,28/08/20 5:00,GBPJPY,Sell,0.05,-,-,140.822,141.139,0,-1585,25m,-0.48%
28/08/20 3:00,28/08/20 4:57,EURJPY,Sell,0.05,-,-,126.065,126.293,0,-1140,1h 57m,-0.34%
28/08/20 3:05,28/08/20 4:54,GBPJPY,Sell,0.05,-,-,140.793,141.018,0,-1125,1h 49m,-0.34%
28/08/20 0:07,28/08/20 1:10,USDJPY,Buy,0.05,-,-,106.543,106.537,0,-30,1h 3m,-0.01%
27/08/20 4:00,27/08/20 7:55,AUDJPY,Sell,0.05,-,-,76.712,76.68,0,160,3h 54m,0.05%
27/08/20 4:00,27/08/20 7:45,GBPJPY,Sell,0.05,-,-,139.968,139.955,0,65,3h 44m,0.02%
27/08/20 4:00,27/08/20 7:40,CADJPY,Sell,0.05,-,-,80.579,80.603,0,-120,3h 39m,-0.04%
27/08/20 4:00,27/08/20 7:40,CHFJPY,Sell,0.05,-,-,116.675,116.716,0,-205,3h 40m,-0.06%
27/08/20 3:50,27/08/20 7:40,CADJPY,Sell,0.05,-,-,80.556,80.603,0,-235,3h 49m,-0.07%
27/08/20 4:00,27/08/20 7:30,EURJPY,Sell,0.03,-,-,125.412,125.401,0,33,3h 30m,0.01%
27/08/20 4:00,27/08/20 7:00,USDJPY,Sell,0.05,-,-,105.926,105.987,0,-305,3h 0m,-0.09%
27/08/20 3:50,27/08/20 6:20,USDJPY,Sell,0.05,-,-,105.896,105.991,0,-475,2h 30m,-0.14%
27/08/20 3:50,27/08/20 6:15,CHFJPY,Sell,0.05,-,-,116.667,116.706,0,-195,2h 24m,-0.06%
27/08/20 3:55,27/08/20 6:00,GBPJPY,Sell,0.05,-,-,139.94,139.894,0,230,2h 5m,0.07%
27/08/20 3:00,27/08/20 6:00,AUDJPY,Sell,0.05,-,-,76.694,76.668,0,130,3h 0m,0.04%
27/08/20 3:50,27/08/20 6:00,EURJPY,Sell,0.05,-,-,125.349,125.383,0,-170,2h 9m,-0.05%
27/08/20 1:45,27/08/20 2:10,CADJPY,Buy,0.05,-,-,80.542,80.572,0,150,25m,0.04%
27/08/20 1:45,27/08/20 2:10,AUDJPY,Buy,0.05,-,-,76.61,76.677,0,335,25m,0.10%
27/08/20 1:30,27/08/20 2:10,EURJPY,Buy,0.05,-,-,125.324,125.355,0,155,40m,0.05%
27/08/20 1:45,27/08/20 2:10,GBPJPY,Buy,0.05,-,-,139.912,139.964,0,260,24m,0.08%
27/08/20 1:45,27/08/20 2:10,CHFJPY,Buy,0.05,-,-,116.611,116.652,0,205,24m,0.06%
27/08/20 1:15,27/08/20 2:10,USDJPY,Buy,0.05,-,-,105.944,105.896,0,-240,55m,-0.07%
26/08/20 4:50,26/08/20 7:00,CHFJPY,Sell,0.05,-,-,117.248,117.096,0,760,2h 10m,0.23%
26/08/20 4:40,26/08/20 7:00,AUDJPY,Sell,0.05,-,-,76.68,76.54,0,700,2h 19m,0.21%
26/08/20 4:50,26/08/20 7:00,EURJPY,Sell,0.03,-,-,126.022,125.807,0,645,2h 9m,0.19%
26/08/20 4:50,26/08/20 7:00,CADJPY,Sell,0.05,-,-,80.889,80.794,0,475,2h 10m,0.14%
26/08/20 4:50,26/08/20 7:00,USDJPY,Sell,0.05,-,-,106.492,106.448,0,220,2h 9m,0.07%
26/08/20 4:50,26/08/20 7:00,GBPJPY,Sell,0.05,-,-,140.025,139.812,0,1065,2h 9m,0.32%
26/08/20 3:00,26/08/20 6:25,USDJPY,Sell,0.05,-,-,106.393,106.447,0,-270,3h 25m,-0.08%
26/08/20 3:00,26/08/20 6:00,CHFJPY,Sell,0.05,-,-,117.156,117.168,0,-60,3h 0m,-0.02%
26/08/20 3:05,26/08/20 6:00,AUDJPY,Sell,0.05,-,-,76.665,76.584,0,405,2h 55m,0.12%
26/08/20 3:05,26/08/20 6:00,GBPJPY,Sell,0.05,-,-,140.014,139.879,0,675,2h 54m,0.20%
26/08/20 3:00,26/08/20 6:00,EURJPY,Sell,0.05,-,-,125.908,125.857,0,255,2h 59m,0.08%
26/08/20 3:05,26/08/20 6:00,CADJPY,Sell,0.05,-,-,80.874,80.827,0,235,2h 54m,0.07%
26/08/20 1:50,26/08/20 2:10,EURJPY,Buy,0.05,-,-,125.875,125.875,0,0,19m,0.00%
25/08/20 4:00,25/08/20 9:35,CHFJPY,Sell,0.05,-,-,116.337,116.302,0,175,5h 35m,0.05%
25/08/20 4:00,25/08/20 9:20,EURJPY,Sell,0.03,-,-,125.057,125.262,0,-615,5h 20m,-0.19%
25/08/20 3:00,25/08/20 9:00,EURJPY,Sell,0.05,-,-,125.01,125.189,0,-895,5h 59m,-0.27%
