Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
09/06/21 11:08,09/06/21 14:06,GBPUSD,Buy,0.2,-,-,1.41845,1.41685,0,-32.91,2h 58m,-1.02%
07/06/21 14:30,07/06/21 17:42,GBPUSD,Buy,0.2,-,-,1.41701,1.4182,0,22.89,3h 12m,0.71%
04/06/21 17:32,04/06/21 17:57,USDJPY,Sell,0.65,-,-,109.403,109.533,0,-79.23,25m,-2.41%
03/06/21 16:50,03/06/21 18:44,GBPUSD,Sell,0.2,-,-,1.41115,1.41011,0,19.9,1h 54m,0.61%
03/06/21 15:25,03/06/21 16:40,EURUSD,Sell,0.36,-,-,1.21642,1.21509,0,46.48,1h 15m,1.44%
03/06/21 15:15,03/06/21 15:27,USDJPY,Buy,0.67,-,-,109.885,109.937,0,29.55,12m,0.93%
01/06/21 23:24,02/06/21 10:59,EURUSD,Sell,0.35,-,-,1.22158,1.22,0,53.86,11h 34m,1.72%
01/06/21 20:30,02/06/21 10:01,GBPUSD,Sell,0.19,-,-,1.41551,1.41423,0,22.97,13h 31m,0.74%
01/06/21 17:21,01/06/21 17:29,USDJPY,Sell,0.66,-,-,109.416,109.373,0,23.84,8m,0.77%
01/06/21 15:15,01/06/21 16:26,GBPUSD,Sell,0.18,-,-,1.41663,1.41833,0,-31.42,1h 10m,-1.01%
31/05/21 17:57,01/06/21 2:25,GBPUSD,Buy,0.19,-,-,1.42053,1.42211,0,28.21,8h 28m,0.91%
27/05/21 10:23,27/05/21 11:32,GBPUSD,Buy,0.19,-,-,1.41251,1.41357,0,19.28,1h 8m,0.63%
26/05/21 18:01,26/05/21 18:56,USDJPY,Buy,0.64,-,-,109.069,109.113,0,23.76,54m,0.78%
25/05/21 15:52,25/05/21 16:26,USDJPY,Buy,0.62,-,-,108.991,109.036,0,23.61,33m,0.78%
25/05/21 4:18,25/05/21 10:12,USDJPY,Sell,0.62,-,-,108.696,108.593,0,56.83,5h 54m,1.92%
21/05/21 15:09,21/05/21 15:54,EURUSD,Sell,0.35,-,-,1.21811,1.22031,0,-78.36,45m,-2.57%
19/05/21 21:04,19/05/21 21:49,EURUSD,Sell,0.34,-,-,1.21887,1.21724,0,54.09,44m,1.81%
19/05/21 16:03,19/05/21 16:09,USDJPY,Sell,0.62,-,-,108.901,108.845,0,29.92,5m,1.01%
19/05/21 7:16,19/05/21 11:38,EURUSD,Buy,0.35,-,-,1.22338,1.22118,0,-78.37,4h 21m,-2.58%
17/05/21 9:17,17/05/21 10:11,USDJPY,Sell,0.64,-,-,109.221,109.18,0,21.98,54m,0.73%
12/05/21 16:03,12/05/21 16:18,GBPUSD,Buy,0.33,-,-,1.41492,1.41302,0,-64.19,15m,-2.08%
12/05/21 15:30,12/05/21 15:41,GBPUSD,Sell,0.32,-,-,1.40933,1.41238,0,-99.04,11m,-3.11%
12/05/21 6:27,12/05/21 15:30,EURUSD,Sell,0.29,-,-,1.21229,1.20827,0,115.46,9h 3m,3.77%
12/05/21 10:35,12/05/21 11:13,GBPUSD,Buy,0.31,-,-,1.41465,1.41265,0,-63.4,38m,-2.03%
11/05/21 15:53,11/05/21 16:17,GBPUSD,Buy,0.3,-,-,1.4158,1.4137,0,-64.36,24m,-2.02%
07/05/21 17:35,07/05/21 18:18,GBPUSD,Buy,0.35,-,-,1.39716,1.39859,0,48.49,42m,1.54%
07/05/21 15:31,07/05/21 15:34,GBPUSD,Buy,0.35,-,-,1.39404,1.39611,0,70.89,2m,2.31%
07/05/21 15:30,07/05/21 15:30,USDJPY,Sell,0.55,-,-,108.895,108.852,0,19.97,37s,0.65%
07/05/21 15:05,07/05/21 15:30,GBPUSD,Sell,0.4,-,-,1.38946,1.39221,0,-111.78,24m,-3.53%
06/05/21 14:09,06/05/21 14:10,GBPUSD,Buy,0.36,-,-,1.39261,1.39364,0,35.48,1m,1.13%
06/05/21 10:08,06/05/21 11:42,EURUSD,Buy,0.29,-,-,1.20268,1.20411,0,40.35,1h 34m,1.31%
05/05/21 13:20,05/05/21 15:30,GBPUSD,Buy,0.39,-,-,1.3914,1.3898,0,-64.14,2h 10m,-2.03%
05/05/21 6:23,05/05/21 8:29,GBPUSD,Buy,0.41,-,-,1.39142,1.38982,0,-67.43,2h 5m,-2.09%
04/05/21 10:37,04/05/21 18:09,EURUSD,Sell,0.3,-,-,1.20127,1.20347,0,-67.15,7h 31m,-2.04%
03/05/21 10:14,03/05/21 11:40,GBPUSD,Buy,0.41,-,-,1.38359,1.38482,0,48.61,1h 25m,1.50%
30/04/21 17:53,30/04/21 17:59,USDJPY,Buy,0.52,-,-,109.223,109.295,0,32.6,5m,1.02%
30/04/21 17:53,30/04/21 17:57,EURUSD,Sell,0.28,-,-,1.20549,1.20394,0,42.32,3m,1.34%
30/04/21 17:05,30/04/21 17:55,GBPUSD,Sell,0.35,-,-,1.38585,1.3846,0,42.2,49m,1.35%
29/04/21 11:46,29/04/21 14:05,USDJPY,Buy,0.53,-,-,108.997,108.867,0,-64.99,2h 19m,-2.04%
28/04/21 21:37,28/04/21 21:43,USDJPY,Sell,0.53,-,-,108.664,108.613,0,23.19,6m,0.73%
28/04/21 21:35,28/04/21 21:41,EURUSD,Buy,0.28,-,-,1.21094,1.2127,0,48.2,6m,1.55%
28/04/21 21:35,28/04/21 21:38,GBPUSD,Buy,0.36,-,-,1.39291,1.39406,0,39.8,2m,1.29%
28/04/21 10:01,28/04/21 11:07,EURUSD,Sell,0.29,-,-,1.20567,1.20787,0,-64.92,1h 6m,-2.07%
26/04/21 18:08,27/04/21 4:36,USDJPY,Buy,0.51,-,-,108.166,108.265,0,44.4,10h 27m,1.43%
26/04/21 14:44,26/04/21 14:53,USDJPY,Buy,0.51,-,-,107.956,108.006,0,21.98,8m,0.71%
23/04/21 20:13,23/04/21 23:07,EURUSD,Buy,0.28,-,-,1.20798,1.20962,0,44.84,2h 53m,1.48%
23/04/21 16:27,23/04/21 18:00,GBPUSD,Sell,0.37,-,-,1.38526,1.38414,0,39.8,1h 32m,1.33%
23/04/21 4:05,23/04/21 4:30,USDJPY,Sell,0.52,-,-,107.814,107.944,0,-64.29,25m,-2.10%
22/04/21 21:09,23/04/21 4:05,EURUSD,Sell,0.28,-,-,1.1999,1.2021,0,-62.74,6h 55m,-2.01%
